route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"103",1523_PO,1523_8034,"Lesisko",,0,PO_103-01_30,902690,0,0
"103",1522_PO,1522_8306,"Aleja Przyjaźni",,1,PO_103-01_31,901085,0,0
"103",1523_PO,1523_8038,"Aleja Przyjaźni",,1,PO_103-01_31,902691,0,0
"103",1522_PO,1522_8310,"Lesisko",,0,PO_103-01_32,901087,0,0
"103",1523_PO,1523_8044,"Lesisko",,0,PO_103-01_32,902690,0,0
"103",1522_PO,1522_8314,"Aleja Przyjaźni",,1,PO_103-01_33,901085,0,0
"103",1523_PO,1523_8049,"Aleja Przyjaźni",,1,PO_103-01_33,902691,0,0
"103",1522_PO,1522_8318,"Lesisko",,0,PO_103-01_34,901087,0,0
"103",1523_PO,1523_8053,"Lesisko",,0,PO_103-01_34,902690,0,0
"103",1522_PO,1522_7458,"Lesisko",,0,PO_103-02_2,901087,0,0
"103",1523_PO,1523_8062,"Lesisko",,0,PO_103-02_2,902690,0,0
"103",1522_PO,1522_7459,"Aleja Przyjaźni",,1,PO_103-02_3,901085,0,0
"103",1523_PO,1523_8067,"Aleja Przyjaźni",,1,PO_103-02_3,902691,0,0
"103",1522_PO,1522_7463,"Lesisko",,0,PO_103-02_4,901087,0,0
"103",1523_PO,1523_8072,"Lesisko",,0,PO_103-02_4,902690,0,0
"103",1522_PO,1522_7467,"Aleja Przyjaźni",,1,PO_103-02_5,901085,0,0
"103",1523_PO,1523_8074,"Aleja Przyjaźni",,1,PO_103-02_5,902691,0,0
"103",1522_PO,1522_7471,"Lesisko",,0,PO_103-02_6,901087,0,0
"103",1523_PO,1523_8078,"Lesisko",,0,PO_103-02_6,902690,0,0
"103",1522_PO,1522_7476,"Aleja Przyjaźni",,1,PO_103-02_7,901085,0,0
"103",1523_PO,1523_8084,"Aleja Przyjaźni",,1,PO_103-02_7,902691,0,0
"103",1522_PO,1522_7481,"Lesisko",,0,PO_103-02_8,901087,0,0
"103",1523_PO,1523_8087,"Lesisko",,0,PO_103-02_8,902690,0,0
"103",1522_PO,1522_7485,"Aleja Przyjaźni",,1,PO_103-02_9,901085,0,0
"103",1523_PO,1523_8090,"Aleja Przyjaźni",,1,PO_103-02_9,902691,0,0
"103",1522_PO,1522_7489,"Lesisko",,0,PO_103-02_10,901087,0,0
"103",1523_PO,1523_8094,"Lesisko",,0,PO_103-02_10,902690,0,0
"103",1522_PO,1522_7493,"Aleja Przyjaźni",,1,PO_103-02_11,901085,0,0
"103",1523_PO,1523_8099,"Aleja Przyjaźni",,1,PO_103-02_11,902691,0,0
"103",1522_PO,1522_7496,"Lesisko",,0,PO_103-02_12,901087,0,0
"103",1523_PO,1523_8102,"Lesisko",,0,PO_103-02_12,902690,0,0
"103",1522_PO,1522_7501,"Aleja Przyjaźni",,1,PO_103-02_13,901085,0,0
"103",1523_PO,1523_8107,"Aleja Przyjaźni",,1,PO_103-02_13,902691,0,0
"103",1522_PO,1522_7505,"Lesisko",,0,PO_103-02_14,901087,0,0
"103",1523_PO,1523_8111,"Lesisko",,0,PO_103-02_14,902690,0,0
"103",1522_PO,1522_7508,"Aleja Przyjaźni",,1,PO_103-02_15,901085,0,0
"103",1523_PO,1523_8115,"Aleja Przyjaźni",,1,PO_103-02_15,902691,0,0
"103",1522_PO,1522_7512,"Lesisko",,0,PO_103-02_16,901087,0,0
"103",1523_PO,1523_8119,"Lesisko",,0,PO_103-02_16,902690,0,0
"103",1522_PO,1522_7517,"Aleja Przyjaźni",,1,PO_103-02_17,901085,0,0
"103",1523_PO,1523_8123,"Aleja Przyjaźni",,1,PO_103-02_17,902691,0,0
"103",1522_PO,1522_7520,"Lesisko",,0,PO_103-02_18,901087,0,0
"103",1523_PO,1523_8128,"Lesisko",,0,PO_103-02_18,902690,0,0
"103",1522_PO,1522_7524,"Aleja Przyjaźni",,1,PO_103-02_19,901085,0,0
"103",1523_PO,1523_8132,"Aleja Przyjaźni",,1,PO_103-02_19,902691,0,0
"103",1522_PO,1522_7529,"Lesisko",,0,PO_103-02_20,901087,0,0
"103",1523_PO,1523_8137,"Lesisko",,0,PO_103-02_20,902690,0,0
"103",1522_PO,1522_7534,"Aleja Przyjaźni",,1,PO_103-02_21,901085,0,0
"103",1523_PO,1523_8141,"Aleja Przyjaźni",,1,PO_103-02_21,902691,0,0
"103",1522_PO,1522_7537,"Lesisko",,0,PO_103-02_22,901087,0,0
"103",1523_PO,1523_8145,"Lesisko",,0,PO_103-02_22,902690,0,0
"103",1522_PO,1522_7541,"Aleja Przyjaźni",,1,PO_103-02_23,901085,0,0
"103",1523_PO,1523_8147,"Aleja Przyjaźni",,1,PO_103-02_23,902691,0,0
"103",1522_PO,1522_7543,"Lesisko",,0,PO_103-02_24,901087,0,0
"103",1523_PO,1523_8152,"Lesisko",,0,PO_103-02_24,902690,0,0
"103",1522_PO,1522_7548,"Aleja Przyjaźni",,1,PO_103-02_25,901085,0,0
"103",1523_PO,1523_8154,"Aleja Przyjaźni",,1,PO_103-02_25,902691,0,0
"103",1522_PO,1522_7553,"Lesisko",,0,PO_103-02_26,901087,0,0
"103",1523_PO,1523_8159,"Lesisko",,0,PO_103-02_26,902690,0,0
"103",1522_PO,1522_7556,"Aleja Przyjaźni",,1,PO_103-02_27,901085,0,0
"103",1523_PO,1523_8162,"Aleja Przyjaźni",,1,PO_103-02_27,902691,0,0
"103",1522_PO,1522_7561,"Lesisko",,0,PO_103-02_28,901087,0,0
"103",1523_PO,1523_8165,"Lesisko",,0,PO_103-02_28,902690,0,0
"103",1522_PO,1522_7565,"Aleja Przyjaźni",,1,PO_103-02_29,901085,0,0
"103",1523_PO,1523_8170,"Aleja Przyjaźni",,1,PO_103-02_29,902691,0,0
"103",1522_PO,1522_7570,"Lesisko",,0,PO_103-02_30,901087,0,0
"103",1523_PO,1523_8173,"Lesisko",,0,PO_103-02_30,902690,0,0
"103",1522_PO,1522_7574,"Aleja Przyjaźni",,1,PO_103-02_31,901085,0,0
"103",1523_PO,1523_8177,"Aleja Przyjaźni",,1,PO_103-02_31,902691,0,0
"103",1522_PO,1522_7576,"Lesisko",,0,PO_103-02_32,901087,0,0
"103",1523_PO,1523_8182,"Lesisko",,0,PO_103-02_32,902690,0,0
"103",1522_PO,1522_7579,"Aleja Przyjaźni",,1,PO_103-02_33,901085,0,0
"103",1523_PO,1523_8186,"Aleja Przyjaźni",,1,PO_103-02_33,902691,0,0
"106",1522_PO,1522_7176,"Skotniki Szkoła",,0,PO_106-01_2,900874,0,0
"106",1523_PO,1523_7784,"Skotniki Szkoła",,0,PO_106-01_2,902132,0,0
"106",1522_PO,1522_7181,"Łagiewniki",,1,PO_106-01_3,900873,0,0
"106",1523_PO,1523_7787,"Łagiewniki",,1,PO_106-01_3,902131,0,0
"106",1522_PO,1522_7185,"Skotniki Szkoła",,0,PO_106-01_4,900874,0,0
"106",1523_PO,1523_7791,"Skotniki Szkoła",,0,PO_106-01_4,902132,0,0
"106",1522_PO,1522_7189,"Łagiewniki",,1,PO_106-01_5,900873,0,0
"106",1523_PO,1523_7794,"Łagiewniki",,1,PO_106-01_5,902131,0,0
"106",1522_PO,1522_7192,"Skotniki Szkoła",,0,PO_106-01_6,900874,0,0
"106",1523_PO,1523_7799,"Skotniki Szkoła",,0,PO_106-01_6,902132,0,0
"106",1522_PO,1522_7196,"Łagiewniki",,1,PO_106-01_7,900873,0,0
"106",1523_PO,1523_7803,"Łagiewniki",,1,PO_106-01_7,902131,0,0
"106",1522_PO,1522_7199,"Skotniki Szkoła",,0,PO_106-01_8,900874,0,0
"106",1523_PO,1523_7808,"Skotniki Szkoła",,0,PO_106-01_8,902132,0,0
"106",1522_PO,1522_7203,"Łagiewniki",,1,PO_106-01_9,900873,0,0
"106",1523_PO,1523_7811,"Łagiewniki",,1,PO_106-01_9,902131,0,0
"106",1522_PO,1522_7208,"Skotniki Szkoła",,0,PO_106-01_10,900874,0,0
"106",1523_PO,1523_7814,"Skotniki Szkoła",,0,PO_106-01_10,902132,0,0
"106",1522_PO,1522_7213,"Łagiewniki",,1,PO_106-01_11,900873,0,0
"106",1523_PO,1523_7819,"Łagiewniki",,1,PO_106-01_11,902131,0,0
"106",1522_PO,1522_7217,"Skotniki Szkoła",,0,PO_106-01_12,900874,0,0
"106",1523_PO,1523_7823,"Skotniki Szkoła",,0,PO_106-01_12,902132,0,0
"106",1522_PO,1522_7220,"Łagiewniki",,1,PO_106-01_13,900873,0,0
"106",1523_PO,1523_7828,"Łagiewniki",,1,PO_106-01_13,902131,0,0
"106",1522_PO,1522_7224,"Skotniki Szkoła",,0,PO_106-01_14,900874,0,0
"106",1523_PO,1523_7832,"Skotniki Szkoła",,0,PO_106-01_14,902132,0,0
"106",1522_PO,1522_7228,"Łagiewniki",,1,PO_106-01_15,900873,0,0
"106",1523_PO,1523_7835,"Łagiewniki",,1,PO_106-01_15,902131,0,0
"106",1522_PO,1522_7232,"Skotniki Szkoła",,0,PO_106-01_16,900874,0,0
"106",1523_PO,1523_7840,"Skotniki Szkoła",,0,PO_106-01_16,902132,0,0
"106",1522_PO,1522_7236,"Łagiewniki",,1,PO_106-01_17,900873,0,0
"106",1523_PO,1523_7845,"Łagiewniki",,1,PO_106-01_17,902131,0,0
"106",1522_PO,1522_7240,"Skotniki Szkoła",,0,PO_106-01_18,900874,0,0
"106",1523_PO,1523_7849,"Skotniki Szkoła",,0,PO_106-01_18,902132,0,0
"106",1522_PO,1522_7244,"Łagiewniki",,1,PO_106-01_19,900873,0,0
"106",1523_PO,1523_7853,"Łagiewniki",,1,PO_106-01_19,902131,0,0
"106",1522_PO,1522_7247,"Skotniki Szkoła",,0,PO_106-01_20,900874,0,0
"106",1523_PO,1523_7854,"Skotniki Szkoła",,0,PO_106-01_20,902132,0,0
"106",1522_PO,1522_7251,"Łagiewniki",,1,PO_106-01_21,900873,0,0
"106",1523_PO,1523_7857,"Łagiewniki",,1,PO_106-01_21,902131,0,0
